TKT,VER,N1A,N1B,N1C,N2A,N2B,N2C,N3A,N3B,N3C,N4A,N4B,N4C,N5A,N5B,N5C,I1,I2,I3,I4,I5,I6,I7,I8,P,U
139,23335,,8,11,,27,29,,37,32,,48,55,,62,67,base02.ai,,,,,,,,1,1
140,9578,,2,7,,22,20,,43,39,,52,59,,67,61,base02.ai,,,,,,,,1,1
141,14552,,7,1,,20,19,,33,36,,57,47,,71,61,base02.ai,,,,,,,,1,1
142,51,,3,10,,29,16,,32,31,,59,55,,73,74,base02.ai,,,,,,,,1,1
143,18988,,11,15,,23,17,,40,43,,57,50,,75,73,base02.ai,,,,,,,,1,1
144,23695,,6,2,,20,29,,33,34,,48,58,,69,62,base02.ai,,,,,,,,1,1
145,939,,2,9,,24,26,,33,35,,48,56,,67,66,base02.ai,,,,,,,,1,1
146,7643,,9,6,,28,29,,33,37,,49,48,,71,66,base02.ai,,,,,,,,1,1
147,15172,,4,2,,25,16,,40,41,,55,56,,62,70,base02.ai,,,,,,,,1,1
148,8333,,9,5,,16,18,,32,36,,56,49,,69,74,base02.ai,,,,,,,,1,1
149,18184,,4,15,,20,25,,35,45,,52,54,,72,67,base02.ai,,,,,,,,1,1
150,6101,,10,7,,19,17,,40,39,,53,56,,63,68,base02.ai,,,,,,,,1,1
151,8418,,2,15,,30,23,,40,41,,50,59,,65,74,base02.ai,,,,,,,,1,1
152,21138,,3,7,,30,26,,31,43,,51,57,,74,67,base02.ai,,,,,,,,1,1
153,26648,,12,8,,28,21,,41,37,,59,47,,69,64,base02.ai,,,,,,,,1,1
154,19761,,5,6,,24,21,,40,39,,49,56,,72,70,base02.ai,,,,,,,,1,1
155,4713,,11,7,,29,25,,44,41,,56,47,,73,64,base02.ai,,,,,,,,1,1
156,3566,,11,5,,17,20,,41,36,,48,50,,61,65,base02.ai,,,,,,,,1,1
157,24016,,4,6,,22,23,,33,31,,57,46,,71,66,base02.ai,,,,,,,,1,1
158,992,,1,8,,17,19,,39,36,,59,55,,67,74,base02.ai,,,,,,,,1,1
159,10375,,3,4,,22,29,,33,40,,52,58,,68,67,base02.ai,,,,,,,,1,1
160,16386,,2,1,,28,17,,44,33,,59,52,,61,70,base02.ai,,,,,,,,1,1
161,1633,,6,2,,22,18,,34,42,,54,56,,64,62,base02.ai,,,,,,,,1,1
162,10171,,5,4,,19,26,,37,42,,49,48,,63,66,base02.ai,,,,,,,,1,1
163,24677,,10,8,,23,21,,36,35,,53,50,,70,67,base02.ai,,,,,,,,1,1
164,19229,,13,7,,23,30,,42,45,,56,59,,75,68,base02.ai,,,,,,,,1,1
165,17891,,13,1,,23,30,,45,33,,49,52,,61,63,base02.ai,,,,,,,,1,1
166,24435,,2,7,,23,19,,32,44,,59,55,,75,62,base02.ai,,,,,,,,1,1
167,14197,,12,13,,21,16,,32,43,,55,57,,72,67,base02.ai,,,,,,,,1,1
168,1335,,12,10,,25,21,,39,33,,50,59,,69,75,base02.ai,,,,,,,,1,1
169,19601,,10,1,,22,16,,43,31,,57,56,,69,75,base02.ai,,,,,,,,1,1
170,7167,,5,3,,20,23,,36,38,,47,55,,64,73,base02.ai,,,,,,,,1,1
171,14149,,8,13,,21,18,,41,39,,59,47,,74,65,base02.ai,,,,,,,,1,1
172,7998,,12,5,,17,16,,39,36,,56,55,,62,72,base02.ai,,,,,,,,1,1
173,5886,,6,4,,24,22,,31,36,,54,52,,66,62,base02.ai,,,,,,,,1,1
174,5932,,7,11,,29,28,,39,35,,53,50,,70,71,base02.ai,,,,,,,,1,1
175,17884,,12,10,,28,22,,38,37,,51,55,,65,71,base02.ai,,,,,,,,1,1
176,209,,12,10,,29,24,,37,34,,51,59,,68,66,base02.ai,,,,,,,,1,1
177,1386,,9,13,,20,19,,45,42,,56,51,,73,62,base02.ai,,,,,,,,1,1
178,11797,,6,11,,20,18,,32,39,,47,55,,75,68,base02.ai,,,,,,,,1,1
179,23588,,5,6,,23,20,,31,45,,51,48,,63,69,base02.ai,,,,,,,,1,1
180,20981,,12,6,,30,18,,37,38,,55,51,,74,64,base02.ai,,,,,,,,1,1
181,21652,,4,2,,25,28,,42,36,,49,48,,71,74,base02.ai,,,,,,,,1,1
182,14837,,12,4,,21,28,,31,40,,57,60,,68,65,base02.ai,,,,,,,,1,1
183,19832,,3,6,,22,27,,37,33,,59,54,,62,63,base02.ai,,,,,,,,1,1
184,5581,,8,1,,26,27,,36,38,,55,49,,74,67,base02.ai,,,,,,,,1,1
185,21517,,6,4,,19,30,,32,33,,56,49,,67,75,base02.ai,,,,,,,,1,1
186,19404,,6,14,,25,20,,33,40,,57,46,,65,66,base02.ai,,,,,,,,1,1
187,6901,,8,11,,21,16,,32,43,,57,47,,75,70,base02.ai,,,,,,,,1,1
188,9018,,15,1,,25,22,,32,41,,59,47,,72,67,base02.ai,,,,,,,,1,1
189,17817,,10,14,,29,18,,43,36,,50,47,,66,72,base02.ai,,,,,,,,1,1
190,23470,,15,9,,21,27,,42,43,,59,48,,67,64,base02.ai,,,,,,,,1,1
191,11640,,1,13,,17,23,,38,40,,47,51,,72,75,base02.ai,,,,,,,,1,1
192,13137,,1,13,,20,27,,31,40,,52,57,,68,63,base02.ai,,,,,,,,1,1
193,20519,,4,8,,20,18,,41,35,,50,56,,67,66,base02.ai,,,,,,,,1,1
194,11822,,2,6,,27,23,,34,33,,53,49,,61,71,base02.ai,,,,,,,,1,1
195,9566,,9,12,,17,23,,39,37,,50,60,,72,68,base02.ai,,,,,,,,1,1
196,20794,,6,7,,30,27,,40,41,,55,56,,75,72,base02.ai,,,,,,,,1,1
197,13353,,7,4,,27,22,,40,35,,56,48,,73,61,base02.ai,,,,,,,,1,1
198,865,,8,5,,25,21,,45,42,,49,59,,65,70,base02.ai,,,,,,,,1,1
199,11483,,2,7,,25,18,,31,37,,56,52,,72,65,base02.ai,,,,,,,,1,1
200,20935,,2,7,,20,27,,40,33,,50,57,,66,73,base02.ai,,,,,,,,1,1
201,5548,,1,7,,18,24,,34,39,,51,60,,72,68,base02.ai,,,,,,,,1,1
202,5725,,5,10,,23,28,,37,34,,59,50,,75,69,base02.ai,,,,,,,,1,1
203,25695,,4,15,,24,25,,45,35,,54,52,,74,68,base02.ai,,,,,,,,1,1
204,3767,,12,10,,24,27,,42,39,,51,53,,64,66,base02.ai,,,,,,,,1,1
205,4748,,2,15,,18,28,,40,33,,57,50,,71,64,base02.ai,,,,,,,,1,1
206,8298,,2,3,,17,24,,34,32,,52,60,,64,69,base02.ai,,,,,,,,1,1
207,17141,,14,7,,20,16,,43,41,,50,52,,65,64,base02.ai,,,,,,,,1,1
208,4837,,8,13,,26,25,,41,44,,59,52,,72,75,base02.ai,,,,,,,,1,1
209,18450,,2,15,,18,19,,34,33,,47,52,,65,71,base02.ai,,,,,,,,1,1
210,21234,,6,14,,30,18,,40,35,,50,53,,73,62,base02.ai,,,,,,,,1,1
211,26423,,6,7,,28,18,,34,41,,59,50,,74,67,base02.ai,,,,,,,,1,1
212,9428,,6,14,,30,22,,42,31,,55,46,,68,75,base02.ai,,,,,,,,1,1
213,6156,,2,1,,21,19,,43,31,,50,56,,74,65,base02.ai,,,,,,,,1,1
214,1661,,5,7,,19,17,,43,31,,56,55,,74,66,base02.ai,,,,,,,,1,1
215,3010,,1,10,,25,16,,34,40,,50,51,,75,66,base02.ai,,,,,,,,1,1
216,20691,,10,13,,18,28,,41,37,,50,59,,63,71,base02.ai,,,,,,,,1,1
217,12024,,2,7,,18,28,,31,43,,57,55,,65,66,base02.ai,,,,,,,,1,1
218,9347,,13,2,,28,20,,32,43,,57,49,,69,67,base02.ai,,,,,,,,1,1
219,5135,,11,13,,27,29,,42,34,,56,58,,63,70,base02.ai,,,,,,,,1,1
220,15862,,6,9,,27,21,,37,32,,55,56,,67,69,base02.ai,,,,,,,,1,1
221,6869,,15,7,,17,26,,39,41,,48,59,,64,62,base02.ai,,,,,,,,1,1
222,13009,,6,8,,18,28,,44,31,,56,54,,62,72,base02.ai,,,,,,,,1,1
223,3819,,3,7,,27,17,,36,37,,52,48,,62,72,base02.ai,,,,,,,,1,1
224,14638,,12,5,,23,16,,45,38,,59,55,,65,72,base02.ai,,,,,,,,1,1
225,11910,,14,13,,23,27,,35,40,,50,46,,66,73,base02.ai,,,,,,,,1,1
226,20229,,4,12,,25,17,,36,32,,57,47,,62,70,base02.ai,,,,,,,,1,1
227,6946,,7,6,,24,23,,36,35,,48,53,,73,74,base02.ai,,,,,,,,1,1
228,13169,,8,10,,27,20,,45,37,,59,56,,68,64,base02.ai,,,,,,,,1,1
229,19565,,1,13,,16,24,,31,33,,49,50,,67,64,base02.ai,,,,,,,,1,1
230,24373,,4,6,,22,20,,40,32,,47,48,,62,67,base02.ai,,,,,,,,1,1
231,8383,,1,3,,,,33,,,57,,,67,,,base03.ai,eeyore01.ai,free02.ai,,,,,,1,1
232,6769,14,,,,16,29,45,,,51,,,,,,base03.ai,eeyore02.ai,free05.ai,,,,,,1,1
233,20754,12,,,,,,33,,,60,,,,62,75,base03.ai,free02.ai,eeyore05.ai,,,,,,1,1
234,22170,,,,19,,,44,,,47,,,,65,73,base03.ai,free01.ai,eeyore05.ai,,,,,,1,1
235,19613,,2,4,29,,,39,,,60,,,,,,base03.ai,eeyore01.ai,free05.ai,,,,,,1,1
236,3622,6,,,,,,34,,,,50,57,61,,,base03.ai,free02.ai,eeyore04.ai,,,,,,1,1
237,5315,12,,,,,,,33,37,56,,,73,,,base03.ai,free02.ai,eeyore03.ai,,,,,,1,1
238,8955,,3,14,,,,40,,,53,,,61,,,base03.ai,eeyore01.ai,free02.ai,,,,,,1,1
239,15343,,10,12,22,,,41,,,56,,,,,,base03.ai,eeyore01.ai,free05.ai,,,,,,1,1
240,1956,8,,,,,,,43,44,49,,,66,,,base03.ai,free02.ai,eeyore03.ai,,,,,,1,1
241,20235,14,,,,,,35,,,,50,52,71,,,base03.ai,free02.ai,eeyore04.ai,,,,,,1,1
242,13657,15,,,,,,35,,,,52,54,69,,,base03.ai,free02.ai,eeyore04.ai,,,,,,1,1
243,16262,,1,7,27,,,45,,,51,,,,,,base03.ai,eeyore01.ai,free05.ai,,,,,,1,1
244,7654,1,,,,,,39,,,49,,,,66,74,base03.ai,free02.ai,eeyore05.ai,,,,,,1,1
245,11411,8,,,,,,36,,,47,,,,62,69,base03.ai,free02.ai,eeyore05.ai,,,,,,1,1
246,3168,12,,,29,,,31,,,59,,,,,,base01.ai,free05.ai,,,,,,,1,1
247,15253,4,,,,,,36,,,49,,,72,,,base01.ai,free02.ai,,,,,,,1,1
248,17550,9,,,,,,33,,,56,,,75,,,base01.ai,free02.ai,,,,,,,1,1
249,988,14,,,,,,32,,,53,,,64,,,base01.ai,free02.ai,,,,,,,1,1
250,17440,6,,,22,,,44,,,54,,,,,,base01.ai,free05.ai,,,,,,,1,1
251,4523,4,,,,,,37,,,52,,,74,,,base01.ai,free02.ai,,,,,,,1,1
252,1869,3,,,,,,40,,,58,,,63,,,base01.ai,free02.ai,,,,,,,1,1
253,19498,10,,,,,,44,,,56,,,69,,,base01.ai,free02.ai,,,,,,,1,1
254,24375,3,,,,,,39,,,55,,,62,,,base01.ai,free02.ai,,,,,,,1,1
255,14494,10,,,,,,41,,,50,,,61,,,base01.ai,free02.ai,,,,,,,1,1
256,24654,15,,,28,,,41,,,59,,,,,,base01.ai,free05.ai,,,,,,,1,1
257,7753,4,,,,,,32,,,57,,,73,,,base01.ai,free02.ai,,,,,,,1,1
258,3980,4,,,21,,,,,,52,,,64,,,base01.ai,free03.ai,,,,,,,1,1
259,23714,7,,,22,,,41,,,55,,,,,,base01.ai,free05.ai,,,,,,,1,1
260,265,14,,,25,,,40,,,60,,,,,,base01.ai,free05.ai,,,,,,,1,1
261,10637,10,,,,,,32,,,57,,,74,,,base01.ai,free02.ai,,,,,,,1,1
262,12639,5,,,,,,43,,,55,,,61,,,base01.ai,free02.ai,,,,,,,1,1
263,16232,3,,,18,,,36,,,55,,,,,,base01.ai,free05.ai,,,,,,,1,1
