TKT,VER,N1A,N1B,N1C,N2A,N2B,N2C,N3A,N3B,N3C,N4A,N4B,N4C,N5A,N5B,N5C,I1,I2,I3,I4,I5,I6,I7,I8,P,U
35,11733,,13,12,,,18,,36,34,,50,53,,63,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner06.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai,1,4
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,4
352,25558,4,,,30,,,42,,,52,,,66,,,base01.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai,1,4
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner09.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner07.ai,nonwinner02.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner03.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner03.ai,1,4
146,7643,,9,6,,28,29,,33,37,,49,48,,71,66,base02.ai,,,,,,,,1,4
199,11483,,2,7,,25,18,,31,37,,56,52,,72,65,base02.ai,,,,,,,,1,4
206,8298,,2,3,,17,24,,34,32,,52,60,,64,69,base02.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner05.ai,1,4
126,23479,,8,11,,,,37,,,56,,,,69,73,base03.ai,eeyore01.ai,free02.ai,eeyore05.ai,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner03.ai,nonwinner01.ai,1,1
355,22935,8,,,19,,,32,,,47,,,71,,,base01.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner09.ai,nonwinner06.ai,1,1
213,6156,,2,1,,21,19,,43,31,,50,56,,74,65,base02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner02.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner04.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner06.ai,1,1
114,18069,11,,,,,,39,,,48,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner01.ai,nonwinner03.ai,1,1
300,19003,8,,,16,,,39,,,,46,60,,61,64,base03.ai,eeyore04.ai,eeyore05.ai,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner03.ai,1,2
294,7235,12,,,30,,,,37,42,51,,,,65,69,base03.ai,eeyore03.ai,eeyore05.ai,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner08.ai,1,2
124,474,13,,,,,,,37,41,,49,56,61,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,,,,,1,2
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,2
248,17550,9,,,,,,33,,,56,,,75,,,base01.ai,free02.ai,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner06.ai,nonwinner05.ai,1,2
172,7998,,12,5,,17,16,,39,36,,56,55,,62,72,base02.ai,,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai,1,2
3,14550,,,5,,28,,,36,44,,46,51,,70,,base02.ai,free01_a.ai,free02_b.ai,free05_b.ai,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner06.ai,1,2
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner01.ai,nonwinner06.ai,1,2
225,11910,,14,13,,23,27,,35,40,,50,46,,66,73,base02.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner07.ai,1,3
108,12595,,8,11,,27,18,,42,35,,46,48,,,69,base02.ai,free05_a.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner07.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner06.ai,nonwinner02.ai,1,3
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner09.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner07.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner02.ai,1,3
272,26873,7,,,19,,,35,,,53,,,,,,base01.ai,free05.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,3
241,20235,14,,,,,,35,,,,50,52,71,,,base03.ai,free02.ai,eeyore04.ai,,,,,,1,3
371,4629,7,,,25,,,35,,,50,,,65,,,base01.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner01.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner04.ai,1,4
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner03.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner07.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner05.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner01.ai,nonwinner05.ai,1,4
375,14895,15,,,20,,,39,,,53,,,67,,,base01.ai,,,,,,,,1,4
176,209,,12,10,,29,24,,37,34,,51,59,,68,66,base02.ai,,,,,,,,1,4
153,26648,,12,8,,28,21,,41,37,,59,47,,69,64,base02.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner04.ai,1,4
398,2044,12,,,28,,,32,,,56,,,75,,,base01.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner01.ai,1,4
388,3437,13,,,29,,,32,,,47,,,62,,,base01.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner01.ai,1,4
28,9957,,5,3,,19,,,40,39,,59,46,,,71,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner02.ai,1,1
78,17888,,9,1,,,28,,43,41,,54,55,,62,72,base02.ai,free02_a.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner07.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner03.ai,nonwinner01.ai,1,1
373,16359,10,,,16,,,39,,,50,,,61,,,base01.ai,,,,,,,,1,1
96,20152,,7,2,,24,25,,39,32,,59,53,,,70,base02.ai,free05_a.ai,,,,,,,1,1
169,19601,,10,1,,22,16,,43,31,,57,56,,69,75,base02.ai,,,,,,,,1,1
13,764,,5,,,,17,,38,43,,60,46,,,75,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner04.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner05.ai,nonwinner09.ai,1,1
6,20868,,11,,,20,,,35,33,,55,51,,,74,base02.ai,free01_b.ai,free02_b.ai,free05_a.ai,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner07.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner08.ai,nonwinner07.ai,1,2
359,21010,8,,,20,,,38,,,55,,,63,,,base01.ai,,,,,,,,1,2
292,8840,,4,14,18,,,,38,45,56,,,64,,,base03.ai,eeyore01.ai,eeyore03.ai,,,,,,1,2
243,16262,,1,7,27,,,45,,,51,,,,,,base03.ai,eeyore01.ai,free05.ai,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner02.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner02.ai,1,2
158,992,,1,8,,17,19,,39,36,,59,55,,67,74,base02.ai,,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner03.ai,1,2
310,2944,12,,,18,,,,41,44,59,,,74,,,base03.ai,eeyore03.ai,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner03.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner06.ai,nonwinner03.ai,1,2
347,19512,7,,,20,,,,40,42,51,,,64,,,base03.ai,eeyore03.ai,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner08.ai,nonwinner03.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai,1,3
387,7339,8,,,28,,,32,,,47,,,66,,,base01.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai,1,3
170,7167,,5,3,,20,23,,36,38,,47,55,,64,73,base02.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner06.ai,1,3
12,7787,,14,,,,20,,42,35,,57,47,,,71,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,3
341,12742,3,,,17,,,,31,40,55,,,69,,,base03.ai,eeyore03.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner06.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner04.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner03.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner08.ai,1,3
25,9579,,,,,,,38,,,50,,,,,,base01.ai,free01.ai,free02.ai,free05.ai,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner08.ai,1,4
180,20981,,12,6,,30,18,,37,38,,55,51,,74,64,base02.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner07.ai,1,4
284,13765,,1,3,,24,30,36,,,48,,,70,,,base03.ai,eeyore01.ai,eeyore02.ai,,,,,,1,4
19,7293,,4,,,,21,,35,41,,60,58,,,74,base02.ai,free01_b.ai,free02_a.ai,free05_a.ai,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner04.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner01.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner01.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner09.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai,1,4
356,12445,14,,,24,,,31,,,50,,,74,,,base01.ai,,,,,,,,1,4
59,12882,15,,,,,,,37,44,,48,54,,,,base03.ai,free02.ai,eeyore03.ai,eeyore04.ai,free05.ai,,,,1,4
192,13137,,1,13,,20,27,,31,40,,52,57,,68,63,base02.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner04.ai,1,4
224,14638,,12,5,,23,16,,45,38,,59,55,,65,72,base02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
5,23991,,8,9,,19,,,34,40,,,58,,,75,base02.ai,free02_b.ai,free04_a.ai,free05_a.ai,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner03.ai,1,1
17,7212,,,15,,25,,,44,39,,57,58,,,68,base02.ai,free01_a.ai,free02_b.ai,free05_a.ai,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner01.ai,1,1
348,22174,8,,,24,,,41,,,,55,56,62,,,base03.ai,eeyore04.ai,,,,,,,1,1
253,19498,10,,,,,,44,,,56,,,69,,,base01.ai,free02.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner02.ai,nonwinner04.ai,1,1
30,711,,2,7,,22,,,37,36,,55,50,,,62,base02.ai,free02_b.ai,free05_a.ai,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner07.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner09.ai,1,2
14,26576,,,2,,,16,,41,38,,57,53,,61,,base02.ai,free01_a.ai,free02_a.ai,free05_b.ai,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner05.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner05.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner08.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai,1,2
265,8319,5,,,,,,41,,,47,,,68,,,base01.ai,free02.ai,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner08.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner05.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner03.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner04.ai,nonwinner09.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner05.ai,nonwinner06.ai,1,2
1,19358,,10,12,,,17,,,33,,52,49,,69,,base02.ai,free02_a.ai,free03_a.ai,free05_b.ai,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai,1,3
219,5135,,11,13,,27,29,,42,34,,56,58,,63,70,base02.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner07.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner08.ai,nonwinner09.ai,1,3
125,12076,6,,,,,,,31,45,49,,,,74,75,base03.ai,free02.ai,eeyore03.ai,eeyore05.ai,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner01.ai,1,3
201,5548,,1,7,,18,24,,34,39,,51,60,,72,68,base02.ai,,,,,,,,1,3
372,4332,4,,,26,,,37,,,52,,,73,,,base01.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner06.ai,nonwinner04.ai,1,3
6,20868,,11,,,20,,,35,33,,55,51,,,74,base02.ai,free01_b.ai,free02_b.ai,free05_a.ai,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner05.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner06.ai,nonwinner02.ai,1,3
259,23714,7,,,22,,,41,,,55,,,,,,base01.ai,free05.ai,,,,,,,1,3
81,1159,,9,1,,25,30,,42,39,,59,55,,,73,base02.ai,free05_a.ai,,,,,,,1,3
93,17621,,12,13,,18,30,,40,32,,47,53,,65,,base02.ai,free05_b.ai,,,,,,,1,4
68,19136,,4,8,,23,26,,35,45,,56,49,,,72,base02.ai,free05_a.ai,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner03.ai,nonwinner01.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner01.ai,1,4
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner05.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner05.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner04.ai,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai,1,4
225,11910,,14,13,,23,27,,35,40,,50,46,,66,73,base02.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner04.ai,nonwinner09.ai,1,4
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,4
,,,,,,,,,,,,,,,,,winner02.ai,,,,,,,,1,4
294,7235,12,,,30,,,,37,42,51,,,,65,69,base03.ai,eeyore03.ai,eeyore05.ai,,,,,,1,4
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner03.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner05.ai,nonwinner06.ai,1,1
64,5484,,9,6,,,26,,42,44,,48,49,,66,71,base02.ai,free02_a.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner08.ai,1,1
93,17621,,12,13,,18,30,,40,32,,47,53,,65,,base02.ai,free05_b.ai,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner03.ai,,,,,,,,1,1
43,2134,,8,4,,,30,,42,37,,54,51,,64,,base02.ai,free02_a.ai,free05_b.ai,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner03.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner09.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner05.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner05.ai,1,2
373,16359,10,,,16,,,39,,,50,,,61,,,base01.ai,,,,,,,,1,2
208,4837,,8,13,,26,25,,41,44,,59,52,,72,75,base02.ai,,,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner04.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner05.ai,nonwinner01.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner05.ai,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner03.ai,1,2
100,16430,,1,14,,,16,,33,40,,56,50,,70,61,base02.ai,free02_a.ai,,,,,,,1,2
143,18988,,11,15,,23,17,,40,43,,57,50,,75,73,base02.ai,,,,,,,,1,2
120,1053,4,,,,,,44,,,56,,,,,,base01.ai,free02.ai,free05.ai,,,,,,1,2
291,11245,1,,,,19,29,45,,,,51,56,71,,,base03.ai,eeyore02.ai,eeyore04.ai,,,,,,1,2
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner08.ai,1,2
57,4668,,4,9,,,,,32,36,53,,,,,,base03.ai,eeyore01.ai,free02.ai,eeyore03.ai,free05.ai,,,,1,3
317,17500,,1,5,18,,,32,,,49,,,70,,,base03.ai,eeyore01.ai,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner05.ai,nonwinner09.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai,1,3
208,4837,,8,13,,26,25,,41,44,,59,52,,72,75,base02.ai,,,,,,,,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner07.ai,1,3
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner04.ai,nonwinner09.ai,1,3
